,surface_composition,density,band_gap,efermi,formation_energy_per_atom,total_magnetization,volume,energy_per_atom,pretty_formula,material_id
1660,BiCd,,,,,,,,,
1661,BiHf,12.86474941743433,0.0,6.4377336,-0.1749281191666666,0.0018943833333333333,300.0803430244099,-7.096728694166667,HfBi,mp-1212407
1662,Rh3Mn,,,,,,,,,
1663,Au3Hg,17.173628593754863,0.0,4.52262427,0.053745961250000196,9.775e-05,153.06020764455434,-2.47757244875,HgAu3,mp-1184705
1664,Zr3Mn,6.524180315363031,0.0,4.32336754,0.13937779008620588,3.3584529,83.63806501711024,-8.5618243,Zr3Mn,mp-1188027
1665,Sc3Cr,,,,,,,,,
1666,Pt3Zn,17.715707487127727,0.0,6.21935231,-0.3127598337499995,0.0005849,60.98813780923389,-5.1808057675,ZnPt3,mp-30856
1667,Zr3W,,,,,,,,,
1668,La3Ni,6.559742876726919,0.0,8.04037604,-0.1851669893750003,2.715e-05,481.3826254993607,-5.332127768125,La3Ni,mp-1189497
1669,Sn3Cr,,,,,,,,,
1670,Zr3Y,,,,,,,,,
1671,Tl3Ni,,,,,,,,,
1672,Ti3Hf,7.157537720817587,0.0,5.58569879,0.02133119624999935,0.009915,149.44935237845075,-8.38925462625,HfTi3,mp-1184672
1673,Nb3In,8.58320700386115,0.0,6.27609493,0.03228238624999946,0.03985875,152.27030988162448,-8.23161732625,Nb3In,mp-22060
1674,Tc3Cu,,,,,,,,,
1675,Ti3Ni,5.512401047322958,0.0,6.37911121,-0.07931063999999921,0.0092982,60.938554954658485,-7.44555572,Ti3Ni,mp-981209
1676,PtRh,16.528805128598325,0.0,7.14448043,-0.006654580000000188,0.0094686,29.93702220679292,-6.711363215,PtRh,mp-1219734
1677,AgRu,,,,,,,,,
1678,Hf3Mn,,,,,,,,,
1679,Ga3Hf,9.296638515950516,0.0,4.64645502,-0.3850728574999991,0.0005632,69.24254534740002,-5.14543649,HfGa3,mp-11387
1680,Zn3Sn,6.711261016643473,0.0,4.39442375,0.09428405875000001,1.7e-05,155.84707276945002,-1.84838514,Zn3Sn,mp-1188070
1681,In3Cu,7.112819408787028,0.0,6.88259464,0.17669118000000017,6.545e-05,190.5010939363456,-2.911873285,In3Cu,mp-974023
1682,AlW,,,,,,,,,
1683,HfMo,12.400027359926678,0.0,6.14126423,0.07022670000000097,0.0003187,36.75005891678392,-10.331183255,HfMo,mp-1224314
1684,AuV,12.955689123644751,0.0,5.87154059,0.21338956499999995,0.0109453,31.774537778045886,-5.96472929,VAu,mp-1216391
1685,ReZn,14.21395190382892,0.0,5.35382653,0.22431528999999983,0.0013458,29.394935385216453,-6.627678605,ZnRe,mp-1187983
1686,LaZn,6.382409833522892,0.0,6.19070235,-0.31588824000000004,0.0556095,53.15737599999999,-3.413622095,LaZn,mp-2615
1687,FeRu,10.583642690972527,0.0,7.22072168,0.12795769500000098,0.0006063,24.619452417624643,-8.74388538,FeRu,mp-1224803
1688,LaPt,10.867371681882188,0.0,8.03915347,-1.1825530825000001,8.86e-05,102.06746930219535,-6.68601049,LaPt,mp-1002104
1689,CoSn,8.557223352459836,0.0,8.1809256,-0.11706757583333409,0.004095466666666666,103.41560097120052,-5.6673739633333335,CoSn,mp-20536
1690,AgZr,8.085385116477651,0.0,4.05840387,-0.1213196716666669,6.615e-05,81.77727373346553,-5.811434515,ZrAg,mp-11239
1691,InTa,,,,,,,,,
1692,InRu,,,,,,,,,
1693,CuTc,,,,,,,,,
